"","ID","Curso","Fecha_inicio","Fecha_fin","Estado","Puntuacion","Sexo","Fecha_registro","Ultimo_login","Fecha_nacimiento","Ciudad","Pais","Desempleado","Nivel_estudios","Tiempo_exp_laboral","Tiempo_reg_serv_emp","Tiempo_desemp","Edad","Tiempo_curso","Provincia"
"13",11062,"Metodologias_Agiles_Lean",2019-11-29,2019-12-15,"Aprobado",92,"Mujer",2019-11-22,2019-12-15,1956-10-14,"cascales","Ecuador","NO","Licenciatura","Más de 2 años",NA,"No tiene",63.62,17,"Sucumbios"
"14",9517,"Metodologias_Agiles_Lean",2019-12-10,2019-12-11,"Aprobado",86,"Hombre",2019-11-29,2020-01-02,1956-11-09,"joya de los sachas","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,63.55,2,"Orellana"
"15",17396,"Metodologias_Agiles_Lean",2019-12-08,2019-12-12,"Aprobado",100,"Hombre",2019-11-21,2019-12-12,1956-12-03,"ibarra","Ecuador","NO","Licenciatura",NA,NA,NA,63.48,5,"Imbabura"
"16",1883,"Metodologias_Agiles_Lean",2019-11-19,2019-11-22,"Aprobado",98,"Hombre",2019-11-17,2019-11-21,1957-01-06,"orellana","Ecuador","NO","Licenciatura",NA,NA,NA,63.39,4,"Orellana"
"17",780,"Metodologias_Agiles_Lean",2019-11-22,2019-12-07,"Aprobado",100,"Hombre",2019-11-20,2019-12-07,1957-05-24,"pillaro","Ecuador","NO","Máster/Posgrado",NA,NA,NA,63.01,16,"Tungurahua"
"18",958,"Wordpress",NA,NA,"No iniciado",NA,"Mujer",2019-09-28,2019-09-28,1957-06-20,"loja","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,62.94,NA,"Loja"
"19",958,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-09-28,2019-09-28,1957-06-20,"loja","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,62.94,NA,"Loja"
"20",17287,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-12-08,2019-12-08,1957-08-15,"shushufindi","Ecuador","NO","FP Grado Superior","Más de 2 años","No tiene","No tiene",62.79,NA,"Sucumbios"
"21",994,"Metodologias_Agiles_Lean",2019-12-10,2019-12-12,"Aprobado",100,"Mujer",2019-11-24,2019-12-12,1957-12-05,"riobamba","Ecuador","NO","Licenciatura",NA,NA,NA,62.48,3,"Chimborazo"
"22",7163,"Metodologias_Agiles_Lean",2019-11-30,2019-12-22,"Aprobado",91,"Mujer",2019-11-21,2019-12-21,1957-12-28,"quito","Ecuador","NO","Máster/Posgrado","No tiene","No tiene","No tiene",62.42,23,"Pichincha"
"23",15281,"Metodologias_Agiles_Lean",2019-12-08,2019-12-23,"Aprobado",95,"Mujer",2019-11-23,2019-12-23,1958-04-07,"tena","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años","No tiene",62.14,16,"Napo"
"24",14440,"Metodologias_Agiles_Lean",2019-12-11,2019-12-14,"Aprobado",97,"Mujer",2019-11-23,2019-12-14,1958-07-02,"quito","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,61.91,4,"Pichincha"
"25",14294,"Metodologias_Agiles_Lean",2019-11-14,2019-11-14,"Aprobado",95,"Hombre",2019-10-21,2019-11-14,1958-07-21,"ventanas","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",61.85,1,"Los Rios"
"26",770,"Emprendimiento",2019-11-27,NA,"Iniciado",0,"Hombre",2019-11-26,2019-11-27,1958-07-22,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,61.85,NA,"Imbabura"
"27",770,"Emprendimiento",NA,NA,"No iniciado",NA,"Hombre",2019-11-26,2019-11-27,1958-07-22,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,61.85,NA,"Imbabura"
"28",770,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-26,2019-11-27,1958-07-22,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,61.85,NA,"Imbabura"
"29",11243,"Metodologias_Agiles_Lean",2019-12-14,2020-03-05,"Aprobado",89,"Mujer",2019-11-23,2020-04-02,1958-09-06,"quito","Ecuador","NO","FP Grado Superior",NA,NA,NA,61.73,83,"Pichincha"
"30",3478,"Metodologias_Agiles_Lean",2019-12-09,2019-12-18,"Aprobado",93,"Mujer",2019-11-23,2020-01-08,1958-10-01,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años",NA,NA,61.66,10,"Pichincha"
"31",12359,"Metodologias_Agiles_Lean",2019-12-22,2019-12-22,"Aprobado",95,"Mujer",2019-11-22,2019-12-22,1958-12-22,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años",NA,NA,61.43,1,"Pichincha"
"32",7550,"Metodologias_Agiles_Lean",2019-12-05,2019-12-23,"Aprobado",87,"Mujer",2019-11-22,2020-02-25,1959-01-18,"cayambe","Ecuador","NO","Licenciatura","No tiene",NA,NA,61.36,19,"Pichincha"
"33",2038,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-11-22,2019-11-22,1959-02-17,"loja","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,61.28,NA,"Loja"
"34",7164,"Metodologias_Agiles_Lean",2019-12-05,2019-12-13,"Aprobado",95,"Mujer",2019-11-22,2019-12-13,1959-05-21,"cayambe","Ecuador","NO","Licenciatura",NA,NA,NA,61.02,9,"Pichincha"
"35",18815,"Metodologias_Agiles_Lean",2019-12-11,2019-12-12,"Aprobado",87,"Mujer",2019-11-23,2019-12-12,1959-06-14,"riobamba","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.96,2,"Chimborazo"
"36",12466,"Metodologias_Agiles_Lean",2019-11-07,2019-11-07,"Aprobado",98,"Mujer",2019-10-21,2019-11-07,1959-06-20,"ventanas","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",60.94,1,"Los Rios"
"37",18439,"Wordpress",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,NA,"Pichincha"
"38",18439,"Creacion_android_apps",2019-12-22,2019-12-22,"Aprobado",82,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,1,"Pichincha"
"39",18439,"Emprendimiento",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,NA,"Pichincha"
"40",18439,"Emprendimiento",2019-12-21,2019-12-21,"Aprobado",100,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,1,"Pichincha"
"41",18439,"Metodologias_Agiles_Lean",2019-12-07,2019-12-21,"Aprobado",87,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,15,"Pichincha"
"42",18439,"Introduccion_Machine_Learning",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,NA,"Pichincha"
"43",18439,"Marketing_digital",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2020-03-09,1959-07-13,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.88,NA,"Pichincha"
"44",14589,"Metodologias_Agiles_Lean",2019-12-02,2019-12-03,"Aprobado",92,"Mujer",2019-11-20,2019-12-03,1959-08-10,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,60.8,2,"Pichincha"
"45",12544,"Metodologias_Agiles_Lean",2019-11-29,2019-12-05,"Aprobado",88,"Mujer",2019-11-21,2019-12-17,1959-09-01,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",60.74,7,"Imbabura"
"46",5237,"Metodologias_Agiles_Lean",2019-12-10,2019-12-19,"Aprobado",90,"Hombre",2019-11-21,2019-12-19,1959-12-04,"quito","Ecuador","SI","Licenciatura","Más de 2 años","Más de 2 años",NA,60.48,10,"Pichincha"
"47",12523,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2019-11-23,1959-12-24,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,60.43,NA,"Imbabura"
"48",12012,"Metodologias_Agiles_Lean",2019-11-27,2019-12-05,"Aprobado",86,"Mujer",2019-11-21,2019-12-04,1960-01-27,"santiago de pillaro","Ecuador","NO","Licenciatura","Más de 2 años","Menos de 3 meses","No tiene",60.33,9,"Tungurahua"
"49",7598,"Metodologias_Agiles_Lean",2019-12-06,2019-12-06,"Aprobado",92,"Hombre",2019-12-01,2019-12-09,1960-02-03,"orellana","Ecuador","NO","Licenciatura",NA,NA,NA,60.32,1,"Orellana"
"50",14738,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-22,2019-12-05,1960-03-03,"sigsig","Ecuador","NO","Licenciatura","Más de 2 años",NA,"No tiene",60.24,NA,"Azuay"
"51",6119,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-11-23,2019-12-03,1960-03-12,"cantón mejía parroquia uyumbicho","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años","No tiene",60.21,NA,"Pichincha"
"52",14802,"Metodologias_Agiles_Lean",2019-10-04,NA,"Iniciado",36,"Mujer",2019-09-25,2019-11-17,1960-05-01,"guayaquil","Ecuador","NO","Licenciatura",NA,NA,NA,60.07,NA,"Guayas"
"53",15754,"Metodologias_Agiles_Lean",2019-12-06,2019-12-16,"Aprobado",97,"Mujer",2019-12-02,2019-12-16,1960-05-05,"orellana","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,60.06,11,"Orellana"
"54",14279,"Metodologias_Agiles_Lean",2019-12-02,2019-12-06,"Aprobado",90,"Mujer",2019-11-23,2019-12-06,1960-06-30,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años","Más de 2 años","No tiene",59.91,5,"Pichincha"
"55",13172,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-11-21,2019-11-21,1960-07-02,"la joya de los sachas","Ecuador","NO","Licenciatura","Más de 2 años","No tiene",NA,59.9,NA,"Orellana"
"56",3172,"Metodologias_Agiles_Lean",2019-12-03,2019-12-06,"Aprobado",92,"Hombre",2019-11-22,2019-12-06,1960-07-16,"quito","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,59.87,4,"Pichincha"
"57",7146,"Metodologias_Agiles_Lean",2019-12-12,2019-12-13,"Aprobado",93,"Mujer",2019-11-20,2019-12-12,1960-08-05,"pichincha cayambe","Ecuador","NO","Licenciatura",NA,NA,NA,59.81,2,"Pichincha"
"58",13947,"Metodologias_Agiles_Lean",2019-12-06,2019-12-08,"Aprobado",91,"Mujer",2019-11-22,2019-12-09,1960-08-05,"quito","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",59.81,3,"Pichincha"
"59",11618,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-23,2019-11-27,1960-08-09,"lumbaqui","Ecuador","NO","Máster/Posgrado",NA,NA,NA,59.8,NA,"Sucumbios"
"60",13567,"Metodologias_Agiles_Lean",2019-12-03,2019-12-24,"Aprobado",88,"Mujer",2019-11-22,2019-12-23,1960-08-22,"san miguel","Ecuador","NO","Licenciatura",NA,NA,NA,59.76,22,"Pichincha"
"61",10899,"Metodologias_Agiles_Lean",2019-12-05,2019-12-12,"Aprobado",88,"Mujer",2019-11-24,2019-12-27,1960-09-02,"montufar","Ecuador","NO","Bachillerato",NA,NA,NA,59.73,8,"Carchi"
"62",395,"Metodologias_Agiles_Lean",2019-11-27,2019-12-16,"Aprobado",87,"Mujer",2019-11-21,2020-03-20,1960-11-04,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,59.56,20,"Pichincha"
"63",7067,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Mujer",2019-11-21,2019-11-23,1961-01-10,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,59.38,NA,"Pichincha"
"64",2105,"Metodologias_Agiles_Lean",2019-12-05,2019-12-05,"Aprobado",91,"Mujer",2019-11-27,2019-12-05,1961-01-27,"ibarra","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,59.33,1,"Imbabura"
"65",5350,"Diseno_web_HTML5_CSS",2020-02-02,2020-02-03,"Aprobado",96,"Hombre",2020-02-02,2020-02-07,1961-02-01,"el ángel","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",59.32,2,"Carchi"
"66",5350,"Growth_Hacking",2020-02-06,2020-02-07,"Aprobado",92,"Hombre",2020-02-02,2020-02-07,1961-02-01,"el ángel","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",59.32,2,"Carchi"
"67",5350,"Introduccion_Machine_Learning",2020-02-06,2020-02-06,"Aprobado",100,"Hombre",2020-02-02,2020-02-07,1961-02-01,"el ángel","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",59.32,1,"Carchi"
"68",1956,"Metodologias_Agiles_Lean",2019-12-22,2019-12-22,"Aprobado",87,"Mujer",2019-12-11,2019-12-22,1961-03-11,"quito","Ecuador","NO","Licenciatura",NA,NA,NA,59.21,1,"Pichincha"
"69",14804,"Metodologias_Agiles_Lean",2019-11-27,2019-11-30,"Aprobado",88,"Hombre",2019-11-20,2019-11-30,1961-03-29,"ibarra","Ecuador","NO","Diplomatura",NA,NA,NA,59.16,4,"Imbabura"
"70",5118,"Metodologias_Agiles_Lean",2019-11-30,2019-12-02,"Aprobado",100,"Hombre",2019-11-21,2019-12-02,1961-04-28,"otavalo","Ecuador","NO","Licenciatura",NA,NA,NA,59.08,3,"Imbabura"
"71",13627,"Metodologias_Agiles_Lean",2019-12-03,2019-12-04,"Aprobado",93,"Mujer",2019-11-21,2019-12-17,1961-05-05,"cotacachi","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,59.06,2,"Imbabura"
"72",18643,"Metodologias_Agiles_Lean",2019-12-04,2019-12-05,"Aprobado",96,"Mujer",2019-11-28,2019-12-05,1961-05-11,"ibarra","Ecuador","NO","Licenciatura",NA,NA,NA,59.05,2,"Imbabura"
"73",11536,"Emprendimiento",NA,NA,"No iniciado",NA,"Mujer",2019-11-22,2019-12-19,1961-05-19,"quito","Ecuador","NO","FP Grado Superior",NA,NA,NA,59.02,NA,"Pichincha"
"74",11536,"Metodologias_Agiles_Lean",2019-12-11,2019-12-19,"Aprobado",86,"Mujer",2019-11-22,2019-12-19,1961-05-19,"quito","Ecuador","NO","FP Grado Superior",NA,NA,NA,59.02,9,"Pichincha"
"75",7682,"Metodologias_Agiles_Lean",2019-12-21,2019-12-22,"Aprobado",88,"Mujer",2019-11-21,2019-12-21,1961-05-28,"quito","Ecuador","NO","Licenciatura",NA,NA,NA,59,2,"Pichincha"
"76",18303,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-22,2019-11-27,1961-06-02,"quito","Ecuador","NO","Diplomatura","Más de 2 años","Más de 2 años","No tiene",58.99,NA,"Pichincha"
"77",12005,"Metodologias_Agiles_Lean",2019-12-09,2019-12-23,"Aprobado",91,"Mujer",2019-11-28,2019-12-24,1961-06-05,"cuenca","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.98,15,"Azuay"
"78",17990,"Metodologias_Agiles_Lean",2019-12-16,2019-12-17,"Aprobado",93,"Hombre",2019-11-20,2019-12-17,1961-06-08,"ibarra","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.97,2,"Imbabura"
"79",12258,"Metodologias_Agiles_Lean",2019-12-05,2019-12-05,"Aprobado",97,"Mujer",2019-12-03,2019-12-05,1961-06-11,"otavalo","Ecuador","NO","Licenciatura",NA,NA,NA,58.96,1,"Imbabura"
"80",2927,"Metodologias_Agiles_Lean",2019-11-28,2019-12-11,"Aprobado",95,"Mujer",2019-11-22,2019-12-11,1961-06-16,"atuntaqui","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.95,14,"Imbabura"
"81",16813,"Metodologias_Agiles_Lean",2019-12-03,2019-12-05,"Aprobado",96,"Hombre",2019-11-21,2019-12-05,1961-07-10,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.88,3,"Pichincha"
"82",18,"Metodologias_Agiles_Lean",2019-11-30,2019-12-04,"Aprobado",98,"Mujer",2019-11-23,2019-12-04,1961-07-17,"otavalo","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,58.86,5,"Imbabura"
"83",12229,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-21,2019-11-21,1961-07-31,"ibarra","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene",NA,58.82,NA,"Imbabura"
"84",6464,"Metodologias_Agiles_Lean",2019-11-30,2019-12-06,"Aprobado",87,"Hombre",2019-11-23,2019-12-06,1961-08-05,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años","Más de 2 años",NA,58.81,7,"Pichincha"
"85",6174,"Metodologias_Agiles_Lean",2019-12-01,2019-12-08,"Aprobado",90,"Hombre",2019-11-23,2019-12-08,1961-08-11,"quito","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",58.79,8,"Pichincha"
"86",17409,"Creacion_android_apps",2019-12-05,NA,"Iniciado",0,"Hombre",2019-11-28,2019-12-16,1961-08-18,"quito","Ecuador","SI","Máster/Posgrado","Más de 2 años","Menos de 3 meses",NA,58.78,NA,"Pichincha"
"87",17409,"Diseno_web_HTML5_CSS",2019-11-29,2019-12-05,"Aprobado",100,"Hombre",2019-11-28,2019-12-16,1961-08-18,"quito","Ecuador","SI","Máster/Posgrado","Más de 2 años","Menos de 3 meses",NA,58.78,7,"Pichincha"
"88",12748,"Metodologias_Agiles_Lean",2019-12-12,2019-12-13,"Aprobado",96,"Hombre",2019-11-22,2019-12-13,1961-08-28,"quito","Ecuador","NO","Licenciatura",NA,NA,NA,58.75,2,"Pichincha"
"89",14082,"Metodologias_Agiles_Lean",2019-12-03,2019-12-23,"Aprobado",93,"Mujer",2019-11-20,2020-02-13,1961-08-31,"mira","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.74,21,"Carchi"
"90",14495,"Creacion_android_apps",2019-12-03,NA,"Iniciado",0,"Mujer",2019-11-22,2020-03-10,1961-09-03,"atuntaqui","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,58.73,NA,"Imbabura"
"91",14495,"Emprendimiento",2019-12-03,2019-12-04,"Aprobado",100,"Mujer",2019-11-22,2020-03-10,1961-09-03,"atuntaqui","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,58.73,2,"Imbabura"
"92",14495,"Metodologias_Agiles_Lean",2019-12-04,2019-12-09,"Aprobado",90,"Mujer",2019-11-22,2020-03-10,1961-09-03,"atuntaqui","Ecuador","NO","Licenciatura","Más de 2 años","Más de 2 años",NA,58.73,6,"Imbabura"
"93",16803,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-22,2019-11-22,1961-09-11,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","No tiene",58.71,NA,"Pichincha"
"94",14727,"Emprendimiento",2019-11-26,2019-12-04,"Aprobado",93,"Hombre",2019-11-20,2019-12-14,1961-10-10,"cayambe","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.63,9,"Pichincha"
"95",14727,"Emprendimiento",2019-11-20,2019-11-22,"Aprobado",100,"Hombre",2019-11-20,2019-12-14,1961-10-10,"cayambe","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.63,3,"Pichincha"
"96",14727,"Metodologias_Agiles_Lean",2019-11-27,2019-11-30,"Aprobado",91,"Hombre",2019-11-20,2019-12-14,1961-10-10,"cayambe","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.63,4,"Pichincha"
"97",505,"Metodologias_Agiles_Lean",2019-12-20,2019-12-20,"Aprobado",92,"Hombre",2019-12-12,2019-12-20,1961-10-24,"ibarra","Ecuador","NO","Licenciatura",NA,NA,NA,58.59,1,"Imbabura"
"98",2536,"Marketing_digital",2019-04-11,2019-04-17,"Aprobado",95,"Mujer",2019-04-08,2019-05-17,1961-11-11,"machala","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","Más de 2 años",58.54,7,"El Oro"
"99",2536,"Emprendimiento",2019-05-09,2019-05-17,"Aprobado",100,"Mujer",2019-04-08,2019-05-17,1961-11-11,"machala","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","Más de 2 años",58.54,9,"El Oro"
"100",2536,"Habilidades_socioemocionales",2019-04-29,2019-05-09,"Aprobado",97,"Mujer",2019-04-08,2019-05-17,1961-11-11,"machala","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","Más de 2 años",58.54,11,"El Oro"
"101",2536,"TICs_basico",2019-04-08,2019-04-15,"Aprobado",97,"Mujer",2019-04-08,2019-05-17,1961-11-11,"machala","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","Más de 2 años",58.54,8,"El Oro"
"102",11706,"Metodologias_Agiles_Lean",2019-11-26,2019-12-11,"Aprobado",93,"Hombre",2019-11-19,2019-12-11,1961-11-27,"otavalo","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,58.5,16,"Imbabura"
"103",18468,"Metodologias_Agiles_Lean",2019-11-30,2019-11-30,"Aprobado",87,"Hombre",2019-11-25,2019-12-01,1961-12-13,"orellana","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.45,1,"Orellana"
"104",267,"Metodologias_Agiles_Lean",2019-12-18,2019-12-19,"Aprobado",91,"Mujer",2019-11-25,2019-12-19,1961-12-21,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.43,2,"Pichincha"
"105",13811,"Metodologias_Agiles_Lean",2019-12-07,2019-12-12,"Aprobado",91,"Mujer",2019-12-02,2019-12-12,1961-12-29,"ibarra","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.41,6,"Imbabura"
"106",796,"Metodologias_Agiles_Lean",2019-12-20,2019-12-22,"Aprobado",85,"Mujer",2019-11-23,2020-03-16,1962-01-11,"quito","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,58.38,3,"Pichincha"
"107",10912,"Metodologias_Agiles_Lean",2019-10-07,2019-10-21,"Aprobado",97,"Hombre",2019-09-21,2019-10-21,1962-02-02,"cariamanga","Ecuador","NO","Licenciatura","Más de 2 años",NA,NA,58.32,15,"Loja"
"108",7708,"Emprendimiento",2019-12-13,2019-12-14,"Aprobado",86,"Mujer",2019-12-11,2020-03-04,1962-02-11,"quito","Ecuador","NO","FP Grado Superior","Más de 2 años","No tiene","No tiene",58.29,2,"Pichincha"
"109",7708,"Metodologias_Agiles_Lean",2019-12-16,2019-12-22,"Aprobado",84,"Mujer",2019-12-11,2020-03-04,1962-02-11,"quito","Ecuador","NO","FP Grado Superior","Más de 2 años","No tiene","No tiene",58.29,7,"Pichincha"
"110",12167,"Metodologias_Agiles_Lean",2019-11-29,2019-12-15,"Aprobado",95,"Mujer",2019-11-20,2019-12-15,1962-02-22,"quito","Ecuador","NO","Máster/Posgrado",NA,NA,NA,58.26,17,"Pichincha"
"111",1864,"Metodologias_Agiles_Lean",2019-12-17,2019-12-17,"Aprobado",96,"Hombre",2019-11-27,2019-12-17,1962-03-29,"quito","Ecuador","NO","Licenciatura",NA,NA,NA,58.16,1,"Pichincha"
"112",9436,"Metodologias_Agiles_Lean",NA,NA,"No iniciado",NA,"Hombre",2019-11-26,2019-11-26,1962-05-06,"otavalo","Ecuador","NO","Licenciatura","Más de 2 años","No tiene","No tiene",58.06,NA,"Imbabura"
"113",14498,"Emprendimiento",2019-12-18,2019-12-18,"Aprobado",100,"Mujer",2019-11-20,2019-12-19,1962-05-17,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","No tiene",58.03,1,"Pichincha"
"114",14498,"Metodologias_Agiles_Lean",2019-12-13,2019-12-18,"Aprobado",90,"Mujer",2019-11-20,2019-12-19,1962-05-17,"quito","Ecuador","NO","Máster/Posgrado","Más de 2 años","No tiene","No tiene",58.03,6,"Pichincha"
